tid,location,total,late,late_same,late_duration,late_amount,name
t0007886,28alg-op,50,32,3,11,191.333333333333,Algonquin
t0007966,28alg-op,20,10,0,0,0,Algonquin
t0010101,28alg-op,4,2,1,16,50,Algonquin
t0010901,28alg-op,38,4,3,8,60,Algonquin
t0010907,28alg-op,9,4,3,2,94.6666666666667,Algonquin
t0010920,28alg-op,10,4,1,12,50,Algonquin
t0010944,28alg-op,50,4,1,6,27,Algonquin
t0010952,28alg-op,26,0,0,0,0,Algonquin
t0010971,28alg-op,29,18,4,10,225,Algonquin
t0012238,28alg-op,54,0,0,0,0,Algonquin
t0012759,28alg-op,9,3,0,0,0,Algonquin
t0013251,28alg-op,51,31,11,9,103.113636363636,Algonquin
t0036957,28alg-op,23,9,1,8,55,Algonquin
t0007493,01bre-op,23,6,0,0,0,Brewster
t0007566,01bre-op,14,0,0,0,0,Brewster
t0007763,01bre-op,65,21,3,17,251.666666666667,Brewster
t0008175,01bre-op,5,0,0,0,0,Brewster
t0008439,01bre-op,58,15,2,1.5,134.5,Brewster
t0008532,01bre-op,59,9,2,8,427.5,Brewster
t0009073,01bre-op,44,13,2,2.5,96.5,Brewster
t0009216,01bre-op,9,0,0,0,0,Brewster
t0009891,01bre-op,62,21,20,6.5,479.2075,Brewster
t0009895,01bre-op,40,6,2,4.5,95,Brewster
t0009896,01bre-op,63,8,1,10,238,Brewster
t0009905,01bre-op,55,15,5,6,529.2,Brewster
t0009906,01bre-op,17,6,2,6.5,325.5,Brewster
t0009907,01bre-op,33,0,0,0,0,Brewster
t0009908,01bre-op,53,12,2,15,197,Brewster
t0009910,01bre-op,51,8,2,6.5,228.5,Brewster
t0009911,01bre-op,53,28,5,11,248.226,Brewster
t0009913,01bre-op,29,18,6,12,270.188333333333,Brewster
t0009918,01bre-op,59,19,5,6,42.6,Brewster
t0009919,01bre-op,50,4,1,11,145,Brewster
t0009922,01bre-op,50,8,2,14.5,133,Brewster
t0009924,01bre-op,60,22,9,4,288.888888888889,Brewster
t0009926,01bre-op,48,13,2,8.5,150,Brewster
t0009930,01bre-op,50,14,4,11,103,Brewster
t0009932,01bre-op,55,4,1,0,125,Brewster
t0009934,01bre-op,12,2,0,0,0,Brewster
t0009935,01bre-op,56,14,1,10,191,Brewster
t0009936,01bre-op,58,4,2,12,226.5,Brewster
t0009937,01bre-op,51,18,5,6,601,Brewster
t0009938,01bre-op,57,7,0,0,0,Brewster
t0009939,01bre-op,52,17,4,8.5,283,Brewster
t0009940,01bre-op,69,19,12,3.5,363.166666666667,Brewster
t0009942,01bre-op,23,13,3,7,353,Brewster
t0009943,01bre-op,58,6,0,0,0,Brewster
t0009945,01bre-op,54,7,0,0,0,Brewster
t0009947,01bre-op,3,0,0,0,0,Brewster
t0009955,01bre-op,51,3,3,4,163.666666666667,Brewster
t0009957,01bre-op,31,18,2,2,34,Brewster
t0009958,01bre-op,58,20,6,10,389.5,Brewster
t0009959,01bre-op,61,4,0,0,0,Brewster
t0009961,01bre-op,22,8,7,7,605.928571428571,Brewster
t0009962,01bre-op,29,4,0,0,0,Brewster
t0009964,01bre-op,29,34,4,8.5,492.5,Brewster
t0009965,01bre-op,54,6,3,3,318.166666666667,Brewster
t0009967,01bre-op,53,1,0,0,0,Brewster
t0009969,01bre-op,51,16,3,5,173.333333333333,Brewster
t0009972,01bre-op,28,6,2,3,142,Brewster
t0009973,01bre-op,58,6,2,3,195.5,Brewster
t0009974,01bre-op,56,2,1,0,187.51,Brewster
t0009976,01bre-op,41,17,6,5,187.166666666667,Brewster
t0009979,01bre-op,59,2,1,1,40,Brewster
t0009980,01bre-op,41,7,0,0,0,Brewster
t0009981,01bre-op,36,4,0,0,0,Brewster
t0009985,01bre-op,56,16,1,6,437,Brewster
t0009986,01bre-op,58,17,1,5,281.5,Brewster
t0009987,01bre-op,62,25,9,7,808.777777777778,Brewster
t0009988,01bre-op,66,2,0,0,0,Brewster
t0009990,01bre-op,5,3,1,3,105,Brewster
t0009993,01bre-op,17,5,1,2,180,Brewster
t0009997,01bre-op,54,15,2,2,97.5,Brewster
t0010002,01bre-op,12,1,0,0,0,Brewster
t0010007,01bre-op,54,11,1,8,37,Brewster
t0010010,01bre-op,8,0,0,0,0,Brewster
t0010011,01bre-op,56,10,2,1,227,Brewster
t0010016,01bre-op,56,0,0,0,0,Brewster
t0010023,01bre-op,53,7,2,2.5,101.5,Brewster
t0010024,01bre-op,45,3,0,0,0,Brewster
t0010026,01bre-op,60,22,1,8,1389,Brewster
t0010027,01bre-op,60,21,18,5,596.666666666667,Brewster
t0010028,01bre-op,44,12,1,3,158,Brewster
t0010030,01bre-op,1,0,0,0,0,Brewster
t0010033,01bre-op,25,9,0,0,0,Brewster
t0010037,01bre-op,38,14,2,3.5,89.5,Brewster
t0010039,01bre-op,50,1,1,7,67,Brewster
t0010040,01bre-op,56,2,0,0,0,Brewster
t0010041,01bre-op,55,10,0,0,0,Brewster
t0010045,01bre-op,55,5,0,0,0,Brewster
t0010046,01bre-op,77,14,2,1,145,Brewster
t0010048,01bre-op,56,13,3,2,63.0833333333333,Brewster
t0010049,01bre-op,56,17,4,1.5,256.75,Brewster
t0010050,01bre-op,55,18,13,3,738.153846153846,Brewster
t0010051,01bre-op,61,11,4,6,525.5,Brewster
t0010055,01bre-op,77,19,9,5,184.777777777778,Brewster
t0010056,01bre-op,26,4,1,0,71,Brewster
t0010058,01bre-op,50,12,1,9,390,Brewster
t0010059,01bre-op,51,13,2,11.5,158.5,Brewster
t0010062,01bre-op,55,10,1,1,155,Brewster
t0010064,01bre-op,32,0,0,0,0,Brewster
t0010065,01bre-op,35,2,2,6,90,Brewster
t0010066,01bre-op,16,1,0,0,0,Brewster
t0010067,01bre-op,53,6,0,0,0,Brewster
t0010073,01bre-op,20,14,0,0,0,Brewster
t0010075,01bre-op,56,22,7,5,176,Brewster
t0010076,01bre-op,54,12,1,1,97,Brewster
t0010081,01bre-op,52,2,0,0,0,Brewster
t0010087,01bre-op,55,7,1,12,163,Brewster
t0010088,01bre-op,55,8,2,11,126.485,Brewster
t0010091,01bre-op,56,2,0,0,0,Brewster
t0010093,01bre-op,57,12,3,2,112.666666666667,Brewster
t0010095,01bre-op,55,11,3,0,372.333333333333,Brewster
t0010096,01bre-op,63,20,8,5,366,Brewster
t0010097,01bre-op,15,6,1,20,48,Brewster
t0010098,01bre-op,58,9,2,1,198.5,Brewster
t0010100,01bre-op,31,5,2,3.5,156.5,Brewster
t0010104,01bre-op,50,20,6,4.5,178.833333333333,Brewster
t0010106,01bre-op,65,4,0,0,0,Brewster
t0010110,01bre-op,36,13,4,10.5,215.7525,Brewster
t0010112,01bre-op,7,2,0,0,0,Brewster
t0010114,01bre-op,54,18,0,0,0,Brewster
t0010115,01bre-op,52,6,0,0,0,Brewster
t0010116,01bre-op,57,11,3,5,139.333333333333,Brewster
t0010121,01bre-op,54,16,5,12,377,Brewster
t0010128,01bre-op,54,14,5,3,238.6,Brewster
t0010132,01bre-op,52,18,1,4,46,Brewster
t0010133,01bre-op,53,6,0,0,0,Brewster
t0010136,01bre-op,54,11,0,0,0,Brewster
t0010138,01bre-op,54,27,25,7,355.526,Brewster
t0010141,01bre-op,55,4,0,0,0,Brewster
t0010143,01bre-op,64,28,7,4,118,Brewster
t0010147,01bre-op,63,18,4,1.5,125,Brewster
t0010153,01bre-op,55,9,3,1,230.666666666667,Brewster
t0010160,01bre-op,6,3,1,8,240,Brewster
t0010445,01bre-op,8,0,0,0,0,Brewster
t0010835,01bre-op,24,1,1,12,100,Brewster
t0010906,01bre-op,57,8,4,5.5,62.75,Brewster
t0010909,01bre-op,61,1,0,0,0,Brewster
t0011387,01bre-op,4,2,0,0,0,Brewster
t0011388,01bre-op,42,3,0,0,0,Brewster
t0011394,01bre-op,15,7,1,1,158.13,Brewster
t0011495,01bre-op,8,0,0,0,0,Brewster
t0011713,01bre-op,67,14,3,6,147.833333333333,Brewster
t0011808,01bre-op,58,6,2,14.5,41.5,Brewster
t0011893,01bre-op,43,16,6,6,306.5,Brewster
t0011948,01bre-op,42,14,4,9.5,172.75,Brewster
t0011979,01bre-op,18,3,1,12,261,Brewster
t0011997,01bre-op,37,6,0,0,0,Brewster
t0012002,01bre-op,31,11,2,3.5,414.5,Brewster
t0012161,01bre-op,61,8,6,6.5,281.666666666667,Brewster
t0012166,01bre-op,11,0,0,0,0,Brewster
t0012172,01bre-op,3,0,0,0,0,Brewster
t0012209,01bre-op,45,7,2,2,46,Brewster
t0012295,01bre-op,51,9,4,14,255.5,Brewster
t0012362,01bre-op,59,0,0,0,0,Brewster
t0012409,01bre-op,5,12,0,0,0,Brewster
t0012414,01bre-op,23,11,0,0,0,Brewster
t0012416,01bre-op,7,0,0,0,0,Brewster
t0012434,01bre-op,20,0,0,0,0,Brewster
t0012491,01bre-op,56,1,0,0,0,Brewster
t0012494,01bre-op,32,6,0,0,0,Brewster
t0012495,01bre-op,18,6,2,2,74.5,Brewster
t0012522,01bre-op,60,16,5,16,316.2,Brewster
t0012561,01bre-op,23,10,7,5,65,Brewster
t0012572,01bre-op,17,0,0,0,0,Brewster
t0012713,01bre-op,3,6,0,0,0,Brewster
t0012735,01bre-op,18,5,1,1,100,Brewster
t0013060,01bre-op,56,13,8,13,380.375,Brewster
t0013241,01bre-op,58,18,1,11,50,Brewster
t0013244,01bre-op,57,0,0,0,0,Brewster
t0013422,01bre-op,38,4,1,13,700,Brewster
t0013536,01bre-op,50,25,10,11.5,355.626,Brewster
t0013931,01bre-op,39,13,9,4,133.555555555556,Brewster
t0013972,01bre-op,14,0,0,0,0,Brewster
t0014321,01bre-op,60,0,0,0,0,Brewster
t0014511,01bre-op,26,0,0,0,0,Brewster
t0014637,01bre-op,20,9,4,11.5,318,Brewster
t0014692,01bre-op,53,19,6,5,402.666666666667,Brewster
t0014700,01bre-op,58,23,7,9,222.285714285714,Brewster
t0014706,01bre-op,41,30,0,0,0,Brewster
t0014788,01bre-op,50,3,1,20,245,Brewster
t0014828,01bre-op,59,3,1,6,158,Brewster
t0015021,01bre-op,55,18,3,11,106.666666666667,Brewster
t0015031,01bre-op,84,21,7,4,188.571428571429,Brewster
t0015200,01bre-op,18,6,0,0,0,Brewster
t0015268,01bre-op,60,32,16,7.5,255.1875,Brewster
t0015269,01bre-op,84,23,1,18,142,Brewster
t0015300,01bre-op,54,9,0,0,0,Brewster
t0015302,01bre-op,69,19,4,1.5,357.75,Brewster
t0015547,01bre-op,44,6,1,6,471,Brewster
t0015570,01bre-op,67,25,5,4,306.8,Brewster
t0015617,01bre-op,23,0,0,0,0,Brewster
t0015625,01bre-op,23,8,1,12,86,Brewster
t0015673,01bre-op,70,16,4,6,210.75,Brewster
t0015858,01bre-op,26,3,1,11,75,Brewster
t0015860,01bre-op,1,0,0,0,0,Brewster
t0015924,01bre-op,57,17,4,13.5,152.5,Brewster
t0015925,01bre-op,29,6,1,7,106,Brewster
t0015936,01bre-op,40,10,4,4,499.1225,Brewster
t0015944,01bre-op,22,1,0,0,0,Brewster
t0015979,01bre-op,50,16,4,2.5,323.5,Brewster
t0016008,01bre-op,56,2,0,0,0,Brewster
t0016014,01bre-op,61,16,9,7,114.777777777778,Brewster
t0016040,01bre-op,14,0,0,0,0,Brewster
