tid,Age on effective date of action,Sex,Total number in household,Number of dependents,Number of bedrooms in unit,"Adjusted annual income: 8a minus 8x (if 8x is larger, put 0)",TTP if based on adjusted annual income: (9d x 9e) / 100,Most recent ( Previous)TTP,"Utility allowance, if any","Tenant rent: 10d minus 10en If positive or 0, put tenant rent If negative, credit tenant"
t0007303,70,F,1,0,1,9404,235,231,0,235
t0007295,77,M,1,0,1,21217,530,515,0,530
t0007317,77,M,1,0,1,15111,378,371,0,378
t0007302,69,F,1,0,1,17152,429,408,0,429
t0025481,63,M,1,0,1,14496,362,382,0,362
t0013272,60,M,1,0,1,9404,235,232,0,235
t0008407,72,M,1,0,1,9596,240,236,0,240
t0011089,61,F,1,0,2,15128,378,372,0,378
t0015802,57,M,1,0,1,8576,215,232,0,215
t0015623,57,F,1,0,1,14521,363,355,0,363
t0007339,67,F,1,0,1,9020,226,219,0,226
t0007304,69,F,1,0,1,6764,169,50,0,169
t0025348,61,M,1,0,1,11780,295,0,0,295
t0013551,68,F,1,0,1,8672,217,211,0,217
t0007271,83,F,1,0,1,9404,235,232,0,235
t0025288,58,F,1,0,1,13711,343,278,0,343
t0025358,74,F,1,0,1,14999,375,362,0,375
t0025371,79,F,1,0,1,9260,232,225,0,232
t0015450,65,M,1,0,1,9692,242,235,0,242
t0039016,65,M,1,0,1,9692,242,235,0,242
t0025425,57,M,1,0,1,9164,229,226,0,229
t0015801,57,M,1,0,1,9260,232,221,0,232
t0007329,70,F,1,0,1,20463,512,497,0,512
t0015981,62,M,1,0,1,9164,229,226,0,229
t0007274,71,M,1,0,1,8804,220,217,0,220
t0014038,59,M,1,0,1,9020,226,219,0,226
t0009166,56,F,1,0,1,9548,239,232,0,239
t0007290,69,F,1,0,1,9296,233,226,0,233
t0011632,73,F,1,0,1,7112,178,175,0,178
t0007281,81,F,1,0,1,11276,282,274,0,282
t0007285,64,F,1,0,1,9020,226,219,0,226
t0012297,49,M,1,0,2,9920,248,505,0,248
t0007287,67,F,1,0,1,16713,418,422,0,418
t0025194,69,M,1,0,1,10649,266,261,0,266
t0007312,72,F,1,0,1,10628,266,261,0,266
t0011769,64,F,1,0,1,9092,227,221,0,227
t0008195,78,F,1,0,1,16568,414,379,0,414
t0011088,63,M,1,0,1,13385,335,327,0,335
t0008011,76,M,2,0,1,22280,557,537,0,557
t0025444,62,M,1,0,1,9020,226,219,0,226
t0025197,59,F,1,0,1,7916,198,202,0,198
t0016669,57,F,1,0,1,9404,235,232,0,235
t0011746,63,M,1,0,1,9164,229,226,0,229
t0007338,72,F,1,0,1,9164,229,226,0,229
t0016716,59,M,1,0,1,8216,206,202,0,206
t0007296,69,M,1,0,1,13952,349,254,0,349
t0012666,71,M,2,0,1,28254,707,609,0,0
t0015923,58,F,1,0,1,8672,217,211,0,217
t0007881,64,F,1,0,1,9164,229,229,0,229
t0013014,68,M,1,0,1,10250,256,281,0,256
t0015883,59,F,1,0,1,9260,232,225,0,232
t0007307,70,F,1,0,1,9536,239,232,0,239
t0007268,67,F,1,0,1,9260,232,225,0,232
t0013300,66,F,1,0,1,9548,239,232,0,239
t0025159,61,M,1,0,1,9164,229,0,0,229
t0012086,77,M,1,0,1,18436,461,417,0,461
t0013370,74,M,2,0,1,18272,457,450,0,457
t0007306,63,M,1,0,1,9632,241,241,0,241
t0007757,60,M,1,0,1,9000,225,226,0,225
t0023958,56,M,1,0,1,9404,235,0,0,235
t0024024,58,M,1,0,1,9164,229,226,0,229
t0025255,54,M,1,0,1,9164,229,229,0,229
t0012380,63,F,1,0,1,9860,247,239,0,247
t0025523,60,M,1,0,1,9164,229,226,0,229
t0007813,60,F,1,0,1,9560,239,275,0,239
t0025532,54,M,1,0,1,8056,201,0,0,201
t0016121,55,F,1,0,1,9164,229,226,0,229
t0007448,58,F,1,0,1,9560,239,231,0,239
t0061337,55,M,1,0,1,9236,231,0,0,231
t0016120,57,F,1,0,1,9164,229,226,0,229
t0011745,67,M,1,0,1,13136,329,323,0,329
t0007275,91,F,1,0,1,9404,235,232,0,235
t0037651,77,M,1,0,1,16020,401,0,0,401
t0007331,86,F,1,0,1,12676,317,371,0,317
t0007297,68,F,1,0,1,11708,293,256,0,293
t0007325,69,F,1,0,1,9536,239,232,0,239
t0020094,59,F,1,0,2,9164,229,236,0,229
t0014790,63,M,1,0,1,11588,290,248,0,290
t0016119,61,F,1,0,1,3634,91,50,0,91
t0016479,58,F,1,0,1,11102,278,87,0,278
t0015579,62,F,1,0,1,9164,229,226,0,229
t0007515,67,F,1,0,1,36234,906,526,0,0
t0007992,64,M,1,0,1,4988,125,105,0,125
t0016279,62,F,1,0,1,9020,226,212,0,226
t0008103,70,F,1,0,1,1371,34,50,0,79
t0008083,69,M,1,0,1,9020,226,219,0,226
t0022023,69,M,1,0,1,9020,226,219,0,226
t0015558,58,M,1,0,1,9020,226,219,0,226
t0015926,56,M,1,0,1,8996,225,236,0,225
t0037665,54,F,1,0,1,9020,226,0,0,226
t0013392,55,F,1,0,1,9260,232,221,0,232
t0007703,63,F,1,0,1,9092,227,80,0,227
t0022209,55,F,1,0,1,9020,226,0,0,226
t0012441,64,M,1,0,1,9773,244,202,0,244
t0008021,61,M,1,0,1,9020,226,219,0,226
t0007446,69,F,1,0,1,9020,226,219,0,226
t0008357,66,F,1,0,1,5792,145,138,0,145
t0007091,71,M,1,0,1,9332,233,227,0,233
t0012440,67,M,1,0,1,9020,226,219,0,226
t0013139,66,M,1,0,1,9104,228,183,0,228
t0008377,72,F,1,0,1,6187,155,184,0,155
t0016002,55,F,1,0,1,3931,98,197,0,98
t0015699,68,M,1,0,1,9020,226,219,0,226
t0022290,62,F,1,0,1,8600,215,224,0,215
t0012265,68,M,1,0,1,9440,236,232,0,236
t0007101,60,M,1,0,1,29640,741,718,0,0
t0014853,66,M,1,0,1,9260,232,192,0,232
t0014851,73,M,1,0,1,9020,226,219,0,226
t0022221,56,M,1,0,1,12944,324,323,0,324
t0007681,73,M,1,0,1,8156,204,198,0,204
t0012288,62,M,1,0,1,8768,219,209,0,219
t0007517,72,M,1,0,1,9020,226,219,0,226
t0008391,72,F,1,0,1,7003,175,170,0,175
t0013103,57,M,1,0,1,9260,232,199,0,232
t0007569,61,F,1,0,1,8660,217,210,0,217
t0015566,54,M,2,0,1,18124,453,701,0,453
t0007601,80,M,1,0,1,9092,227,221,0,227
t0007247,61,F,1,0,1,10036,251,50,0,251
t0008085,71,M,1,0,1,9260,232,221,0,232
t0016488,57,F,1,0,1,9020,226,219,0,226
t0037663,55,M,1,0,1,9020,226,0,0,226
t0012825,65,F,1,0,1,9260,232,225,0,232
t0011933,73,M,1,0,1,37263,932,926,0,0
t0014510,57,M,1,0,1,9020,226,219,0,226
t0034308,60,M,1,0,1,9020,226,226,0,226
t0013503,66,F,1,0,1,23768,594,225,0,594
t0037033,54,M,1,0,1,9020,226,0,0,226
t0007194,66,F,1,0,1,31364,784,621,0,0
t0034309,62,M,1,0,1,9020,226,0,0,226
t0019975,63,F,1,0,1,9272,232,225,0,232
t0008363,92,M,1,0,1,9260,232,225,0,232
t0008088,66,F,1,0,1,9020,226,219,0,226
t0008033,61,M,1,0,1,1694,42,50,0,50
t0016288,62,F,1,0,1,17804,445,433,0,445
t0007671,59,M,1,0,1,8852,221,215,0,221
t0007650,64,F,1,0,1,1716,43,80,0,50
t0015616,61,F,1,0,1,9020,226,215,0,226
t0011817,69,F,1,0,1,9020,226,215,0,226
t0016452,54,M,1,0,1,9020,226,219,0,226
t0022333,54,M,1,0,1,9020,226,219,0,226
t0008169,68,M,1,0,1,9020,226,219,0,226
t0012089,73,M,1,0,1,8084,202,197,0,202
t0012271,67,M,1,0,1,9164,229,219,0,229
t0011220,63,M,1,0,0,9020,226,221,0,226
t0011030,71,M,1,0,1,8996,225,219,0,225
t0011567,69,F,1,0,1,9260,232,225,0,232
t0022369,69,F,1,0,1,9260,232,225,0,232
t0008189,70,F,1,0,1,9452,236,230,0,236
t0011434,70,M,1,0,1,9020,226,219,0,226
t0022024,58,F,1,0,1,9020,226,0,0,226
t0014558,57,F,1,0,1,9252,231,50,0,231
t0013201,59,F,1,0,1,624,16,50,0,50
t0034355,59,F,1,0,1,624,16,50,0,50
t0037668,69,M,1,0,1,24319,608,0,0,608
t0015198,56,F,1,0,1,3190,80,50,0,80
t0007195,66,F,1,0,1,4340,109,219,0,109
t0008400,59,F,1,0,1,8468,212,50,0,212
t0012287,65,M,1,0,1,21322,533,519,0,533
t0008004,64,M,1,0,1,9020,226,219,0,226
t0014682,58,M,1,0,1,18002,450,50,0,450
t0022128,61,M,1,0,1,5200,130,0,0,130
t0022113,58,M,1,0,1,9292,232,208,0,232
t0011669,90,F,1,0,1,11525,288,281,0,288
t0007989,65,M,1,0,1,9260,232,225,0,232
t0007989,38,F,7,4,6,65919,1648,1323,113,0
t0024319,62,F,1,0,1,9679,242,238,0,242
t0024319,41,M,7,5,5,5684,142,155,107,35
t0008000,68,M,1,0,1,17886,447,440,0,447
t0008000,45,F,6,2,5,4240,106,94,107,-1
t0015676,19,F,2,1,3,1560,39,50,87,-37
t0015676,60,M,1,0,1,14324,358,348,0,358
t0013225,68,M,1,0,1,9164,229,226,0,229
t0008300,63,F,1,0,1,12788,320,314,0,320
t0015760,57,F,1,0,1,2600,65,65,0,65
t0007154,63,M,1,0,1,9392,235,228,0,235
t0013062,58,M,1,0,1,9020,226,229,0,226
t0015762,60,M,1,0,1,0,0,538,0,50
t0024285,61,F,1,0,1,9020,226,226,0,226
t0014203,59,M,1,0,1,16149,404,404,0,404
t0011858,57,M,1,0,1,9690,242,242,0,242
t0008277,79,F,1,0,1,9404,235,232,0,235
t0008117,64,F,1,0,1,9164,229,202,0,229
t0015730,62,M,1,0,1,9260,232,336,0,232
t0015731,58,F,1,0,1,9020,226,219,0,226
t0012509,58,F,1,0,1,9164,229,226,0,229
t0013034,58,M,1,0,1,8324,208,214,0,208
t0024220,58,M,1,0,1,9020,226,144,0,226
t0037791,65,M,1,0,1,13544,339,0,0,339
t0007150,63,M,1,0,1,16518,413,199,0,413
t0023665,58,F,1,0,1,9020,226,219,0,226
t0007986,59,F,1,0,1,9164,229,221,0,229
t0023732,58,M,1,0,1,8708,218,214,0,218
t0008142,68,F,1,0,1,9164,229,226,0,229
t0007939,92,F,1,0,1,7822,196,194,0,196
t0008185,62,F,1,0,1,21783,545,324,0,545
t0019999,59,M,1,0,1,9020,226,219,0,226
t0011179,61,M,1,0,1,10424,261,253,0,261
t0007891,68,M,1,0,1,9404,235,225,0,235
t0012400,67,M,1,0,1,9164,229,226,0,229
t0024108,53,F,1,0,1,7275,182,210,0,182
t0023834,57,M,1,0,1,8852,221,215,0,221
t0034404,71,F,1,0,1,11552,289,284,0,289
t0007946,86,M,1,0,1,11934,299,292,0,299
t0011134,60,F,1,0,1,9260,232,225,0,232
t0013283,80,M,1,0,1,13949,349,293,0,349
t0012508,60,M,1,0,1,10952,274,52,0,274
t0016636,62,F,1,0,1,8900,223,131,0,223
t0016006,65,M,1,0,1,9044,226,223,0,226
t0007820,68,F,1,0,1,9412,235,232,0,235
t0007414,71,F,1,0,1,17674,442,438,0,442
t0008322,65,M,1,0,1,9164,229,226,0,229
t0011120,64,M,1,0,1,9260,232,225,0,232
t0013343,59,M,1,0,1,12044,301,296,0,301
t0008324,89,F,1,0,1,12441,311,303,0,311
t0023728,57,M,1,0,1,13532,338,0,0,338
t0015308,66,M,1,0,1,9404,235,232,0,235
t0008261,62,M,1,0,1,9260,232,219,0,232
t0016099,66,F,1,0,1,9260,232,221,0,232
t0007226,64,F,1,0,1,9164,229,226,0,229
t0011678,58,M,1,0,1,2494,62,78,0,62
