Customer,y,m,rentFees,d,lateFees
t0007886,2017,1,19,11,25
t0007886,2017,2,19,NA,NA
t0007886,2017,3,19,NA,NA
t0007886,2017,4,19,11,25
t0007886,2017,5,19,NA,NA
t0007886,2017,6,19,NA,NA
t0007886,2017,7,19,NA,NA
t0007886,2017,8,19,NA,NA
t0007886,2017,9,19,NA,NA
t0007886,2017,10,19,NA,NA
t0007886,2017,11,19,NA,NA
t0007886,2017,12,150,11,25
t0007886,2018,1,150,11,25
t0007886,2018,2,150,NA,NA
t0007886,2018,3,150,NA,NA
t0007886,2018,4,150,11,25
t0007886,2018,5,150,11,25
t0007886,2018,6,150,11,25
t0007886,2018,7,150,11,25
t0007886,2018,8,150,11,25
t0007886,2018,9,150,11,25
t0007886,2018,10,150,11,25
t0007886,2018,11,150,11,25
t0007886,2018,12,150,NA,NA
t0007886,2019,1,374,11,25
t0007886,2019,2,374,11,25
t0007886,2019,3,374,NA,NA
t0007886,2019,4,374,11,25
t0007886,2019,5,374,11,25
t0007886,2019,6,374,11,25
t0007886,2019,7,374,11,25
t0007886,2019,8,374,11,25
t0007886,2019,9,374,11,25
t0007886,2019,10,374,11,25
t0007886,2019,11,374,11,25
t0007886,2019,12,374,11,25
t0007886,2020,1,374,11,25
t0007886,2020,2,374,11,25
t0007886,2020,3,374,11,25
t0007886,2020,4,374,NA,NA
t0007886,2020,5,374,NA,NA
t0007886,2020,6,374,NA,NA
t0007886,2020,7,374,NA,NA
t0007886,2020,8,374,NA,NA
t0007886,2020,9,374,NA,NA
t0007886,2020,10,374,NA,NA
t0007886,2020,11,386,NA,NA
t0007886,2020,12,386,NA,NA
t0007886,2021,1,386,NA,NA
t0007886,2021,2,386,NA,NA
t0007966,2019,7,11,NA,NA
t0007966,2019,8,11,11,25
t0007966,2019,9,11,11,25
t0007966,2019,10,11,11,25
t0007966,2019,11,11,11,25
t0007966,2019,12,11,11,25
t0007966,2020,1,11,NA,NA
t0007966,2020,2,11,NA,NA
t0007966,2020,3,15,NA,NA
t0007966,2020,4,15,NA,NA
t0007966,2020,5,15,NA,NA
t0007966,2020,6,15,NA,NA
t0007966,2020,7,15,NA,NA
t0007966,2020,8,15,NA,NA
t0007966,2020,9,15,NA,NA
t0007966,2020,10,15,NA,NA
t0007966,2020,11,15,NA,NA
t0007966,2020,12,15,NA,NA
t0007966,2021,1,15,NA,NA
t0007966,2021,2,15,NA,NA
t0010101,2017,5,46,NA,NA
t0010101,2017,6,46,11,25
t0010101,2017,7,46,11,25
t0010101,2017,8,46,NA,NA
