tid,age,sex,num_hh,num_dep,num_br,income,rent,total_trans,late_trans
t0007303,70,F,1,0,1,9404,235,50,1
t0007295,77,M,1,0,1,21217,530,61,14
t0007317,77,M,1,0,1,15111,378,50,9
t0007302,69,F,1,0,1,17152,429,67,27
t0025481,63,M,1,0,1,14496,362,35,8
t0013272,60,M,1,0,1,9404,235,13,0
t0008407,72,M,1,0,1,9596,240,50,0
t0011089,61,F,1,0,2,15128,378,50,5
t0015802,57,M,1,0,1,8576,215,54,6
t0015623,57,F,1,0,1,14521,363,51,14
t0007339,67,F,1,0,1,9020,226,50,0
t0007304,69,F,1,0,1,6764,169,50,2
t0025348,61,M,1,0,1,11780,295,17,0
t0013551,68,F,1,0,1,8672,217,50,2
t0007271,83,F,1,0,1,9404,235,50,1
t0025288,58,F,1,0,1,13711,343,25,0
t0025358,74,F,1,0,1,14999,375,32,2
t0025371,79,F,1,0,1,9260,232,33,6
t0015450,65,M,1,0,1,9692,242,50,9
t0039016,65,M,1,0,1,9692,242,3,0
t0025425,57,M,1,0,1,9164,229,31,3
t0015801,57,M,1,0,1,9260,232,50,8
t0007329,70,F,1,0,1,20463,512,52,0
t0015981,62,M,1,0,1,9164,229,48,7
t0007274,71,M,1,0,1,8804,220,50,3
t0014038,59,M,1,0,1,9020,226,50,20
t0009166,56,F,1,0,1,9548,239,39,21
t0007290,69,F,1,0,1,9296,233,50,0
t0011632,73,F,1,0,1,7112,178,50,5
t0007281,81,F,1,0,1,11276,282,50,5
t0007285,64,F,1,0,1,9020,226,50,8
t0012297,49,M,1,0,2,9920,248,61,5
t0007287,67,F,1,0,1,16713,418,59,16
t0025194,69,M,1,0,1,10649,266,23,0
t0007312,72,F,1,0,1,10628,266,50,3
t0011769,64,F,1,0,1,9092,227,50,2
t0008195,78,F,1,0,1,16568,414,50,10
t0011088,63,M,1,0,1,13385,335,52,8
t0008011,76,M,2,0,1,22280,557,50,11
t0025444,62,M,1,0,1,9020,226,32,6
t0025197,59,F,1,0,1,7916,198,30,13
t0016669,57,F,1,0,1,9404,235,41,2
t0011746,63,M,1,0,1,9164,229,50,14
t0007338,72,F,1,0,1,9164,229,50,20
t0016716,59,M,1,0,1,8216,206,41,0
t0007296,69,M,1,0,1,13952,349,52,32
t0012666,71,M,2,0,1,28254,0,70,37
t0015923,58,F,1,0,1,8672,217,49,1
t0007881,64,F,1,0,1,9164,229,50,0
t0013014,68,M,1,0,1,10250,256,51,1
t0015883,59,F,1,0,1,9260,232,50,5
t0007307,70,F,1,0,1,9536,239,50,0
t0007268,67,F,1,0,1,9260,232,50,10
t0013300,66,F,1,0,1,9548,239,63,13
t0025159,61,M,1,0,1,9164,229,13,0
t0012086,77,M,1,0,1,18436,461,51,14
t0013370,74,M,2,0,1,18272,457,50,0
t0007306,63,M,1,0,1,9632,241,74,40
t0007757,60,M,1,0,1,9000,225,62,0
t0023958,56,M,1,0,1,9404,235,6,0
t0024024,58,M,1,0,1,9164,229,22,0
t0025255,54,M,1,0,1,9164,229,14,0
t0012380,63,F,1,0,1,9860,247,50,17
t0025523,60,M,1,0,1,9164,229,25,12
t0007813,60,F,1,0,1,9560,239,50,0
t0025532,54,M,1,0,1,8056,201,8,0
t0016121,55,F,1,0,1,9164,229,46,4
t0007448,58,F,1,0,1,9560,239,50,0
t0061337,55,M,1,0,1,9236,231,5,0
t0016120,57,F,1,0,1,9164,229,46,0
t0011745,67,M,1,0,1,13136,329,50,3
t0007275,91,F,1,0,1,9404,235,51,0
t0037651,77,M,1,0,1,16020,401,13,1
t0007331,86,F,1,0,1,12676,317,53,4
t0007297,68,F,1,0,1,11708,293,50,2
t0007325,69,F,1,0,1,9536,239,51,1
t0020094,59,F,1,0,2,9164,229,24,0
t0014790,63,M,1,0,1,11588,290,63,11
t0016119,61,F,1,0,1,3634,91,47,3
t0016479,58,F,1,0,1,11102,278,43,4
t0015579,62,F,1,0,1,9164,229,50,0
t0007515,67,F,1,0,1,36234,0,50,1
t0007992,64,M,1,0,1,4988,125,51,19
t0016279,62,F,1,0,1,9020,226,45,4
t0008103,70,F,1,0,1,1371,79,52,1
t0008083,69,M,1,0,1,9020,226,50,1
t0022023,69,M,1,0,1,9020,226,26,6
t0015558,58,M,1,0,1,9020,226,50,0
