tid,age,sex,n_hh,n_dep,n_br,income,rent,n_total,n_late,name,late_duration,late_amount,prop
t0007303,70,F,1,0,1,9404,235,50,1,Riverbend,0,0,0.03453082542290144
t0007295,77,M,1,0,1,21217,530,61,14,Riverbend,0,0,0.21011562461286232
t0007317,77,M,1,0,1,15111,378,50,9,Riverbend,19,371,0.16673661198843737
t0007302,69,F,1,0,1,17152,429,67,27,Riverbend,5,292.166666666667,0.36910371780482804
t0025481,63,M,1,0,1,14496,362,35,8,Riverbend,5,196.5,0.2092498604528632
t0013272,60,M,1,0,1,9404,235,13,0,Riverbend,0,0,0.06494075033077615
t0008407,72,M,1,0,1,9596,240,50,0,Riverbend,0,0,0.01970293358059767
t0011089,61,F,1,0,2,15128,378,50,5,Riverbend,6,45,0.09879898086651369
t0015802,57,M,1,0,1,8576,215,54,6,Riverbend,13,25,0.10739143341424384
t0015623,57,F,1,0,1,14521,363,51,14,Riverbend,1,324,0.2496020946850913
t0007339,67,F,1,0,1,9020,226,50,0,Riverbend,0,0,0.01970293358059767
t0007304,69,F,1,0,1,6764,169,50,2,Riverbend,0,0,0.05003599760238572
t0025348,61,M,1,0,1,11780,295,17,0,Riverbend,0,0,0.05203267729829829
t0013551,68,F,1,0,1,8672,217,50,2,Riverbend,0,0,0.05003599760238572
t0007271,83,F,1,0,1,9404,235,50,1,Riverbend,0,0,0.03453082542290144
t0025288,58,F,1,0,1,13711,343,25,0,Riverbend,0,0,0.03722783282524789
t0025358,74,F,1,0,1,14999,375,32,2,Riverbend,0,0,0.07578249805892814
t0025371,79,F,1,0,1,9260,232,33,6,Riverbend,20,225,0.17056874108408585
t0015450,65,M,1,0,1,9692,242,50,9,Riverbend,0,0,0.16673661198843737
t0039016,65,M,1,0,1,9692,242,3,0,Riverbend,0,0,0.17054722198040495
t0025425,57,M,1,0,1,9164,229,31,3,Riverbend,0,0,0.10296210170802195
t0015801,57,M,1,0,1,9260,232,50,8,Riverbend,0,0,0.14953095591278018
t0007329,70,F,1,0,1,20463,512,52,0,Riverbend,0,0,0.0189877812190509
t0015981,62,M,1,0,1,9164,229,48,7,Riverbend,0,0,0.13769138357554062
t0007274,71,M,1,0,1,8804,220,50,3,Riverbend,2,220,0.06598731731564887
t0014038,59,M,1,0,1,9020,226,50,20,Riverbend,13,379.666666666667,0.36230797831994827
t0009166,56,F,1,0,1,9548,239,39,21,Riverbend,5,246.454545454545,0.48357967841274774
t0007290,69,F,1,0,1,9296,233,50,0,Riverbend,0,0,0.01970293358059767
t0011632,73,F,1,0,1,7112,178,50,5,Riverbend,12,5,0.09879898086651369
t0007281,81,F,1,0,1,11276,282,50,5,Riverbend,-1.5,284.5,0.09879898086651369
t0007285,64,F,1,0,1,9020,226,50,8,Riverbend,0,0,0.14953095591278018
t0012297,49,M,1,0,2,9920,248,61,5,Riverbend,9,446,0.08175837757884646
t0007287,67,F,1,0,1,16713,418,59,16,Riverbend,3,410.2,0.24732526446965877
t0025194,69,M,1,0,1,10649,266,23,0,Riverbend,0,0,0.04007910031445081
t0007312,72,F,1,0,1,10628,266,50,3,Riverbend,9,28.5,0.06598731731564887
t0011769,64,F,1,0,1,9092,227,50,2,Riverbend,0,0,0.05003599760238572
t0008195,78,F,1,0,1,16568,414,50,10,Riverbend,0,0,0.184062958817958
t0011088,63,M,1,0,1,13385,335,52,8,Riverbend,7.5,254,0.14405131390253417
t0008011,76,M,2,0,1,22280,557,50,11,Riverbend,-7,525,0.20149899503514637
t0025444,62,M,1,0,1,9020,226,32,6,Riverbend,0,0,0.1754868600717689
t0025197,59,F,1,0,1,7916,198,30,13,Riverbend,6.5,136.5,0.3837411024864875
t0016669,57,F,1,0,1,9404,235,41,2,Riverbend,-7,225,0.060274893178306775
t0011746,63,M,1,0,1,9164,229,50,14,Riverbend,11.5,115,0.2543844778414194
t0007338,72,F,1,0,1,9164,229,50,20,Riverbend,4.5,232.944444444444,0.36230797831994827
t0016716,59,M,1,0,1,8216,206,41,0,Riverbend,0,0,0.02372367829872339
t0007296,69,M,1,0,1,13952,349,52,32,Riverbend,17,348.2,0.563123457740269
t0012666,71,M,2,0,1,28254,0,70,37,Riverbend,15,435.8,0.48788042232218665
t0015923,58,F,1,0,1,8672,217,49,1,Riverbend,0,0,0.0351942413133701
t0007881,64,F,1,0,1,9164,229,50,0,Riverbend,0,0,0.01970293358059767
t0013014,68,M,1,0,1,10250,256,51,1,Riverbend,2,39,0.033891956433454745
t0015883,59,F,1,0,1,9260,232,50,5,Riverbend,2,222.5,0.09879898086651369
